,,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
,Mission Viejo," 66,022"," 22,102"," 25,734"," 2,923", 218, 797, 228, 2, 157," 13,861"
,Newport Beach," 59,545"," 15,265"," 28,418"," 2,606", 159, 757, 107, 2, 128," 12,103"
,Orange," 78,879"," 29,013"," 27,897"," 3,151", 302," 1,056", 399, 0, 207," 16,854"
,Placentia," 31,733"," 11,369"," 11,520"," 1,223", 106, 352, 120, 1, 101," 6,941"
,Rancho Santa Margarita," 31,343"," 9,946"," 12,543"," 1,415", 114, 434, 93, 0, 81," 6,717"
,San Clemente," 44,868"," 12,653"," 19,917"," 2,344", 153, 654, 118, 2, 170," 8,857"
,San Juan Capistrano," 22,909"," 7,305"," 9,220"," 1,097", 66, 312, 91, 0, 82," 4,736"
,Santa Ana," 130,744"," 67,369"," 25,442"," 3,656", 579," 1,391"," 1,345", 3, 416," 30,543"
,Seal Beach," 18,892"," 6,997"," 7,561", 771, 52, 187, 45, 0, 35," 3,244"
,Stanton," 17,897"," 7,714"," 4,851", 552, 78, 151, 141, 0, 65," 4,345"
,Tustin," 42,048"," 17,307"," 11,655"," 1,476", 194, 496, 244, 3, 94," 10,579"
,Villa Park," 4,676"," 1,042"," 2,436", 176, 13, 55, 13, 0, 8, 933
,Westminster," 53,161"," 17,806"," 18,742"," 1,805", 167, 571, 460, 4, 168," 13,438"
,Yorba Linda," 48,216"," 12,773"," 23,098"," 1,843", 115, 530, 95, 2, 98," 9,662"
,,,,,,,,,,,
,Unincorporated Area," 87,469"," 27,088"," 36,401"," 3,580", 257," 1,168", 300, 0, 242," 18,433"
Orange Totals,," 1,825,735"," 677,192"," 620,159"," 69,616"," 6,778"," 22,001"," 9,330", 52," 5,410"," 415,197"
     Percent,,,37.09%,33.97%,3.81%,0.37%,1.21%,0.51%,0.00%,0.30%,22.74%
,,,,,,,,,,,
Placer,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 54,905"," 18,407"," 21,188"," 2,516", 203, 947, 206, 235, 365," 10,838"
,County Supervisorial 2," 64,436"," 20,959"," 26,368"," 3,037", 194," 1,059", 171, 262, 436," 11,950"
,County Supervisorial 3," 55,536"," 16,756"," 23,157"," 2,660", 198," 1,177", 163, 228, 403," 10,794"
,County Supervisorial 4," 53,694"," 16,248"," 22,781"," 2,466", 197, 867, 131, 211, 422," 10,371"
,County Supervisorial 5," 55,208"," 17,248"," 22,378"," 2,917", 324," 1,182", 212, 222, 456," 10,269"
,,,,,,,,,,,
,US Congressional 3," 283,779"," 89,618"," 115,872"," 13,596"," 1,116"," 5,232", 883," 1,158"," 2,082"," 54,222"
,,,,,,,,,,,
,State Senate 1," 40,132"," 11,014"," 17,836"," 2,225", 218, 916, 160, 167, 333," 7,263"
,State Senate 4," 8,554"," 4,293"," 1,614", 388, 82, 137, 39, 35, 79," 1,887"
,State Senate 6," 235,093"," 74,311"," 96,422"," 10,983", 816," 4,179", 684, 956," 1,670"," 45,072"
,,,,,,,,,,,
,State Assembly 1," 21,827"," 7,352"," 8,026"," 1,151", 159, 465, 98, 87, 199," 4,290"
,State Assembly 3," 6,711"," 1,546"," 3,465", 344, 23, 113, 10, 22, 57," 1,131"
,State Assembly 5," 255,241"," 80,720"," 104,381"," 12,101", 934," 4,654", 775," 1,049"," 1,826"," 48,801"
,,,,,,,,,,,
,State Board of Equalization 1," 283,779"," 89,618"," 115,872"," 13,596"," 1,116"," 5,232", 883," 1,158"," 2,082"," 54,222"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Auburn," 9,830"," 3,414"," 3,613", 494, 56, 219, 34, 34, 88," 1,878"
,Colfax," 1,143", 296, 457, 75, 12, 28, 7, 5, 8, 255
,Lincoln," 38,138"," 12,116"," 16,216"," 1,878", 106, 650, 113, 160, 256," 6,643"
,Loomis," 4,956"," 1,106"," 2,508", 245, 14, 136, 15, 16, 35, 881
,Rocklin," 46,579"," 14,724"," 18,607"," 2,187", 163, 935, 135, 201, 348," 9,279"
,Roseville," 100,904"," 34,511"," 37,973"," 4,614", 377," 1,712", 332, 429, 686," 20,270"
,,,,,,,,,,,
,Unincorporated Area," 82,229"," 23,451"," 36,498"," 4,103", 388," 1,552", 247, 313, 661," 15,016"
Placer Totals,," 283,779"," 89,618"," 115,872"," 13,596"," 1,116"," 5,232", 883," 1,158"," 2,082"," 54,222"
     Percent,,,31.58%,40.83%,4.79%,0.39%,1.84%,0.31%,0.41%,0.73%,19.11%
,,,,,,,,,,,
Plumas,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 2,605", 640," 1,226", 179, 10, 52, 17, 0, 24, 457
,County Supervisorial 2," 2,721", 832," 1,122", 147, 10, 28, 21, 4, 20, 537
,County Supervisorial 3," 2,699", 560," 1,522", 153, 10, 31, 5, 2, 11, 405
,County Supervisorial 4," 2,720", 888, 978, 179, 16, 55, 17, 2, 17, 568
,County Supervisorial 5," 2,774", 813," 1,255", 177, 17, 35, 7, 2, 19, 449
,,,,,,,,,,,
,US Congressional 3," 13,519"," 3,733"," 6,103", 835, 63, 201, 67, 10, 91," 2,416"
,,,,,,,,,,,
,State Senate 1," 13,519"," 3,733"," 6,103", 835, 63, 201, 67, 10, 91," 2,416"
,,,,,,,,,,,
,State Assembly 1," 13,519"," 3,733"," 6,103", 835, 63, 201, 67, 10, 91," 2,416"
,,,,,,,,,,,
,State Board of Equalization 1," 13,519"," 3,733"," 6,103", 835, 63, 201, 67, 10, 91," 2,416"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Portola," 1,294", 372, 537, 87, 4, 26, 15, 0, 11, 242
,,,,,,,,,,,
,Unincorporated Area," 12,225"," 3,361"," 5,566", 748, 59, 175, 52, 10, 80," 2,174"
Plumas Totals,," 13,519"," 3,733"," 6,103", 835, 63, 201, 67, 10, 91," 2,416"
     Percent,,,27.61%,45.14%,6.18%,0.47%,1.49%,0.50%,0.07%,0.67%,17.87%
,,,,,,,,,,,
Riverside,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 243,464"," 108,243"," 64,331"," 9,647"," 1,093"," 2,712"," 2,053", 650," 3,584"," 51,151"
,County Supervisorial 2," 279,718"," 101,378"," 100,615"," 11,904", 935," 3,200"," 1,670", 639," 3,103"," 56,274"
,County Supervisorial 3," 308,628"," 95,508"," 124,317"," 16,977"," 1,244"," 4,614"," 1,598", 634," 3,250"," 60,486"
,County Supervisorial 4," 247,470"," 117,749"," 66,783"," 10,990", 911," 2,375"," 1,595", 511," 1,900"," 44,656"
,County Supervisorial 5," 260,696"," 109,062"," 75,642"," 12,177"," 1,013"," 2,811"," 2,292", 640," 3,218"," 53,841"
,,,,,,,,,,,
,US Congressional 25," 292,788"," 125,345"," 85,197"," 13,907"," 1,174"," 3,044"," 2,442", 714," 2,673"," 58,292"
,US Congressional 35," 27,188"," 10,828"," 8,413", 961, 71, 239, 132, 60, 268," 6,216"
,US Congressional 39," 379,592"," 173,661"," 94,899"," 14,761"," 1,629"," 4,024"," 3,375"," 1,038"," 5,563"," 80,642"
,US Congressional 40," 6,717"," 2,254"," 2,493", 300, 28, 101, 28, 17, 68," 1,428"
,US Congressional 41," 475,099"," 172,489"," 175,506"," 22,740"," 1,670"," 5,863"," 2,487", 947," 4,984"," 88,413"
,US Congressional 48," 158,592"," 47,363"," 65,180"," 9,026", 624," 2,441", 744, 298," 1,499"," 31,417"
,,,,,,,,,,,
,State Senate 18," 81,896"," 39,639"," 20,635"," 3,202", 295, 692, 653, 222, 588," 15,970"
,State Senate 19," 297,957"," 125,303"," 93,638"," 15,058"," 1,107"," 3,186"," 1,958", 579," 2,628"," 54,500"
,State Senate 31," 463,640"," 209,041"," 117,488"," 17,957"," 1,917"," 4,956"," 4,066"," 1,271"," 6,614"," 100,330"
,State Senate 32," 496,483"," 157,957"," 199,927"," 25,478"," 1,877"," 6,878"," 2,531"," 1,002"," 5,225"," 95,608"
,,,,,,,,,,,
,State Assembly 36," 148,304"," 61,478"," 46,056"," 6,893", 573," 1,624"," 1,059", 367," 1,284"," 28,970"
,State Assembly 47," 241,397"," 104,338"," 74,750"," 11,923", 873," 2,623"," 1,458", 438," 2,053"," 42,941"
,State Assembly 58," 243,276"," 106,377"," 66,550"," 9,650"," 1,002"," 2,751"," 1,962", 622," 3,552"," 50,810"
,State Assembly 60," 229,280"," 104,877"," 54,960"," 9,383", 957," 2,307"," 2,289", 680," 3,146"," 50,681"
,State Assembly 63," 298,712"," 101,431"," 115,988"," 13,795"," 1,058"," 3,631"," 1,553", 623," 3,313"," 57,320"
,State Assembly 71," 179,007"," 53,439"," 73,384"," 10,051", 733," 2,776", 887, 344," 1,707"," 35,686"
,,,,,,,,,,,
,State Board of Equalization 4," 1,339,976"," 531,940"," 431,688"," 61,695"," 5,196"," 15,712"," 9,208"," 3,074"," 15,055"," 266,408"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Banning," 17,893"," 6,892"," 6,018", 986, 63, 204, 154, 37, 177," 3,362"
,Beaumont," 33,986"," 12,510"," 12,048"," 1,754", 113, 379, 197, 65, 328," 6,592"
,Blythe," 5,468"," 1,863"," 1,992", 260, 18, 45, 59, 23, 47," 1,161"
,Calimesa," 7,615"," 2,044"," 3,642", 471, 25, 103, 40, 18, 69," 1,203"
,Canyon Lake," 8,262"," 1,378"," 5,103", 421, 19, 112, 25, 12, 60," 1,132"
,Cathedral City," 27,570"," 15,030"," 5,418"," 1,081", 117, 235, 213, 75, 213," 5,188"
,Coachella," 16,987"," 9,885"," 2,238", 484, 81, 149, 190, 53, 101," 3,806"
,Corona," 88,712"," 33,233"," 30,933"," 3,749", 310," 1,038", 495, 219," 1,082"," 17,653"
,Desert Hot Springs," 13,844"," 6,381"," 3,160", 690, 81, 153, 168, 36, 126," 3,049"
,Eastvale," 38,901"," 15,313"," 12,174"," 1,367", 103, 340, 182, 89, 365," 8,968"
,Hemet," 47,262"," 18,053"," 15,472"," 2,614", 185, 478, 399, 111, 477," 9,473"
,Indian Wells," 3,295", 904," 1,657", 180, 6, 31, 1, 2, 22, 492
,Indio," 44,646"," 20,812"," 12,385"," 1,929", 149, 412, 284, 113, 345," 8,217"
,Jurupa Valley," 52,946"," 23,265"," 14,302"," 2,023", 200, 546, 462, 169, 697," 11,282"
,La Quinta," 24,735"," 9,144"," 9,250"," 1,343", 70, 272, 119, 37, 191," 4,309"
,Lake Elsinore," 37,725"," 14,052"," 12,380"," 1,841", 149, 498, 275, 79, 375," 8,076"
,Menifee," 70,593"," 23,693"," 27,530"," 3,688", 258, 987, 336, 151, 885," 13,065"
,Moreno Valley," 105,065"," 51,767"," 22,181"," 3,933", 418, 993," 1,052", 298," 1,606"," 22,817"
,Murrieta," 66,748"," 19,792"," 27,544"," 3,861", 250, 998, 344, 139, 635," 13,185"
,Norco," 15,238"," 3,504"," 8,172", 659, 48, 203, 58, 35, 187," 2,372"
,Palm Desert," 32,448"," 12,866"," 11,467"," 1,661", 107, 378, 147, 47, 271," 5,504"
,Palm Springs," 28,529"," 18,492"," 4,287"," 1,054", 101, 217, 118, 35, 194," 4,031"
,Perris," 36,723"," 18,758"," 6,694"," 1,217", 144, 343, 362, 131, 439," 8,635"
,Rancho Mirage," 13,202"," 6,275"," 4,057", 632, 29, 101, 23, 15, 85," 1,985"
,Riverside," 161,230"," 69,384"," 46,038"," 6,666", 752," 1,878"," 1,245", 362," 2,480"," 32,425"
,San Jacinto," 26,395"," 10,849"," 7,316"," 1,189", 117, 321, 282, 71, 322," 5,928"
,Temecula," 67,997"," 21,321"," 26,663"," 3,761", 291," 1,079", 316, 117, 655," 13,794"
,Wildomar," 22,341"," 6,403"," 9,386"," 1,185", 117, 368, 148, 52, 232," 4,450"
,,,,,,,,,,,
,Unincorporated Area," 223,620"," 78,077"," 82,181"," 10,996", 875," 2,851"," 1,514", 483," 2,389"," 44,254"
Riverside Totals,," 1,339,976"," 531,940"," 431,688"," 61,695"," 5,196"," 15,712"," 9,208"," 3,074"," 15,055"," 266,408"
     Percent,,,39.70%,32.22%,4.60%,0.39%,1.17%,0.69%,0.23%,1.12%,19.88%
,,,,,,,,,,,
Sacramento,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 170,203"," 94,020"," 25,470"," 6,601"," 1,093"," 1,998"," 1,576", 987, 820," 37,638"
,County Supervisorial 2," 155,965"," 82,374"," 26,843"," 5,874", 763," 1,408"," 1,524"," 1,106", 490," 35,583"
,County Supervisorial 3," 175,036"," 74,427"," 51,194"," 8,523", 953," 2,589"," 1,085", 814, 671," 34,780"
,County Supervisorial 4," 179,780"," 61,209"," 64,998"," 9,382", 855," 3,118", 907, 899, 827," 37,585"
,County Supervisorial 5," 193,022"," 83,452"," 53,393"," 8,725", 777," 2,351"," 1,144"," 1,010", 555," 41,615"
,,,,,,,,,,,
,US Congressional 3," 81,167"," 27,645"," 29,561"," 4,111", 357," 1,364", 266, 329, 442," 17,092"
,US Congressional 6," 404,458"," 172,174"," 111,605"," 19,391"," 2,143"," 5,956"," 2,975"," 2,277"," 1,733"," 86,204"
,US Congressional 7," 388,381"," 195,663"," 80,732"," 15,603"," 1,941"," 4,144"," 2,995"," 2,210"," 1,188"," 83,905"
,,,,,,,,,,,
,State Senate 3," 3,014"," 1,051"," 1,118", 174, 20, 62, 31, 29, 12, 517
,State Senate 6," 368,686"," 139,054"," 123,055"," 18,751"," 1,813"," 5,943"," 2,028"," 1,736"," 1,520"," 74,786"
,State Senate 8," 502,306"," 255,377"," 97,725"," 20,180"," 2,608"," 5,459"," 4,177"," 3,051"," 1,831"," 111,898"
,,,,,,,,,,,
,State Assembly 6," 277,292"," 138,687"," 57,734"," 11,775"," 1,639"," 3,569"," 2,119"," 1,538"," 1,154"," 59,077"
,State Assembly 7," 285,463"," 107,363"," 94,148"," 14,452"," 1,432"," 4,721"," 1,653"," 1,350"," 1,310"," 59,034"
,State Assembly 9," 33,917"," 10,176"," 14,778"," 1,871", 114, 511, 164, 183, 94," 6,026"
,State Assembly 10," 276,812"," 139,066"," 55,046"," 10,980"," 1,248"," 2,661"," 2,289"," 1,740", 802," 62,980"
,State Assembly 11, 522, 190, 192, 27, 8, 2, 11, 5, 3, 84
,,,,,,,,,,,
,State Board of Equalization 1," 874,006"," 395,482"," 221,898"," 39,105"," 4,441"," 11,464"," 6,236"," 4,816"," 3,363"," 187,201"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Citrus Heights," 49,769"," 16,957"," 18,246"," 2,835", 272, 994, 319, 234, 216," 9,696"
,Elk Grove," 110,127"," 51,395"," 26,656"," 4,596", 396," 1,109", 570, 533, 268," 24,604"
,Folsom," 51,547"," 18,449"," 17,533"," 2,507", 196, 804, 139, 213, 203," 11,503"
,Galt," 14,847"," 5,022"," 5,632", 794, 54, 207, 88, 94, 32," 2,924"
,Isleton, 375, 153, 102, 17, 3, 10, 3, 3, 2, 82
,Rancho Cordova," 43,237"," 17,943"," 12,055"," 2,092", 218, 655, 294, 237, 171," 9,572"
,Sacramento," 275,737"," 151,889"," 42,635"," 10,532"," 1,624"," 2,946"," 2,481"," 1,650"," 1,151"," 60,829"
,,,,,,,,,,,
,Unincorporated Area," 328,367"," 133,674"," 99,039"," 15,732"," 1,678"," 4,739"," 2,342"," 1,852"," 1,320"," 67,991"
Sacramento Totals,," 874,006"," 395,482"," 221,898"," 39,105"," 4,441"," 11,464"," 6,236"," 4,816"," 3,363"," 187,201"
     Percent,,,45.25%,25.39%,4.47%,0.51%,1.31%,0.71%,0.55%,0.38%,21.42%
,,,,,,,,,,,
San Benito,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 7,519"," 3,208"," 2,459", 331, 25, 104, 37, 7, 49," 1,299"
,County Supervisorial 2," 6,602"," 3,437"," 1,502", 249, 27, 89, 40, 7, 32," 1,219"
,County Supervisorial 3," 6,441"," 3,300"," 1,548", 258, 26, 72, 36, 5, 32," 1,164"
,County Supervisorial 4," 9,138"," 3,709"," 3,151", 406, 44, 108, 34, 4, 47," 1,635"
,County Supervisorial 5," 6,970"," 3,677"," 1,536", 229, 38, 76, 52, 2, 40," 1,320"
,,,,,,,,,,,
,US Congressional 18," 36,670"," 17,331"," 10,196"," 1,473", 160, 449, 199, 25, 200," 6,637"
,,,,,,,,,,,
,State Senate 17," 36,670"," 17,331"," 10,196"," 1,473", 160, 449, 199, 25, 200," 6,637"
,,,,,,,,,,,
,State Assembly 29," 36,670"," 17,331"," 10,196"," 1,473", 160, 449, 199, 25, 200," 6,637"
,,,,,,,,,,,
,State Board of Equalization 2," 36,670"," 17,331"," 10,196"," 1,473", 160, 449, 199, 25, 200," 6,637"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Hollister," 22,194"," 11,411"," 5,077", 842, 104, 269, 148, 13, 126," 4,204"
,San Juan Bautista," 1,308", 720, 265, 57, 5, 23, 2, 2, 7, 227
,,,,,,,,,,,
,Unincorporated Area," 13,168"," 5,200"," 4,854", 574, 51, 157, 49, 10, 67," 2,206"
San Benito Totals,," 36,670"," 17,331"," 10,196"," 1,473", 160, 449, 199, 25, 200," 6,637"
     Percent,,,47.26%,27.80%,4.02%,0.44%,1.22%,0.54%,0.07%,0.55%,18.10%
,,,,,,,,,,,
San Bernardino,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 227,586"," 78,058"," 79,855"," 13,514", 913," 2,819"," 2,147", 788," 2,940"," 46,552"
,County Supervisorial 2," 259,490"," 109,975"," 75,125"," 11,420"," 1,041"," 2,655"," 1,793", 779," 2,658"," 54,044"
,County Supervisorial 3," 240,863"," 80,665"," 89,904"," 13,578"," 1,121"," 3,438"," 1,668", 700," 2,763"," 47,026"
,County Supervisorial 4," 240,290"," 103,018"," 66,670"," 9,759", 975," 2,575"," 1,834", 774," 2,493"," 52,192"
,County Supervisorial 5," 210,632"," 100,347"," 43,430"," 8,647", 846," 2,032"," 2,497", 896," 4,513"," 47,424"
,,,,,,,,,,,
,US Congressional 23," 394,477"," 129,644"," 146,659"," 23,331"," 1,706"," 5,386"," 3,235"," 1,273"," 4,615"," 78,628"
,US Congressional 25," 2,970", 803," 1,288", 212, 12, 31, 27, 4, 24, 569
,US Congressional 28," 54,075"," 17,270"," 22,899"," 2,761", 203, 624, 188, 117, 436," 9,577"
,US Congressional 33," 403,931"," 180,809"," 100,301"," 17,573"," 1,626"," 4,059"," 3,806"," 1,451"," 6,814"," 87,492"
,US Congressional 35," 287,858"," 131,076"," 71,354"," 11,701"," 1,246"," 3,099"," 2,533", 992," 3,177"," 62,680"
,US Congressional 40," 35,550"," 12,461"," 12,483"," 1,340", 103, 320, 150, 100, 301," 8,292"
,,,,,,,,,,,
,State Senate 18," 2,971", 803," 1,289", 212, 12, 31, 27, 4, 24, 569
,State Senate 19," 248,293"," 75,299"," 100,875"," 15,027"," 1,126"," 3,656"," 1,650", 706," 2,569"," 47,385"
,State Senate 22," 167,489"," 75,301"," 43,276"," 6,791", 694," 1,816"," 1,444", 554," 1,759"," 35,854"
,State Senate 23," 168,310"," 61,992"," 53,697"," 9,555", 698," 2,021"," 1,715", 621," 2,402"," 35,609"
,State Senate 25," 42,854"," 13,705"," 18,029"," 2,091", 138, 434, 133, 97, 338," 7,889"
,State Senate 29," 493,218"," 223,800"," 119,760"," 21,200"," 2,049"," 5,039"," 4,671"," 1,779"," 7,735"," 107,185"
,State Senate 31," 8,067"," 4,201"," 1,596", 255, 29, 72, 84, 26, 100," 1,704"
,State Senate 32," 47,659"," 16,962"," 16,462"," 1,787", 150, 450, 215, 150, 440," 11,043"
,,,,,,,,,,,
,State Assembly 34," 175,114"," 51,135"," 72,391"," 11,078", 803," 2,546"," 1,385", 503," 1,717"," 33,556"
,State Assembly 36," 2,970", 803," 1,288", 212, 12, 31, 27, 4, 24, 569
,State Assembly 39," 102,487"," 43,182"," 25,652"," 5,597", 413," 1,093"," 1,204", 426," 1,715"," 23,205"
,State Assembly 41," 84,281"," 25,790"," 36,370"," 4,466", 324," 1,041", 365, 206, 754," 14,965"
,State Assembly 45," 251,996"," 116,342"," 57,934"," 10,716", 981," 2,570"," 2,651", 983," 4,841"," 54,978"
,State Assembly 47," 73,964"," 21,194"," 32,481"," 4,274", 310," 1,070", 344, 210, 664," 13,417"
,State Assembly 50," 257,721"," 115,725"," 64,076"," 11,130"," 1,116"," 2,709"," 2,221", 867," 3,262"," 56,615"
,State Assembly 53," 169,429"," 75,828"," 44,010"," 7,000", 729," 1,858"," 1,430", 558," 1,775"," 36,241"
,State Assembly 58," 7,889"," 3,029"," 2,573", 429, 31, 99, 57, 17, 117," 1,537"
,State Assembly 59," 53,010"," 19,035"," 18,209"," 2,016", 177, 502, 255, 163, 498," 12,155"
,,,,,,,,,,,
,State Board of Equalization 1," 804,880"," 319,818"," 240,444"," 40,657"," 3,409"," 9,536"," 7,487"," 2,817"," 11,642"," 169,070"
,State Board of Equalization 4," 373,981"," 152,245"," 114,540"," 16,261"," 1,487"," 3,983"," 2,452"," 1,120"," 3,725"," 78,168"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Adelanto," 15,884"," 7,463"," 2,944", 866, 74, 125, 218, 63, 324," 3,807"
,Apple Valley," 45,951"," 13,148"," 19,652"," 3,052", 155, 593, 329, 120, 427," 8,475"
,Barstow," 11,056"," 3,885"," 3,288", 814, 37, 146, 154, 57, 138," 2,537"
,Big Bear Lake," 2,864", 740," 1,281", 154, 15, 50, 15, 5, 22, 582
,Chino," 51,022"," 20,314"," 16,112"," 2,135", 202, 507, 324, 146, 537," 10,745"
,Chino Hills," 47,659"," 16,962"," 16,462"," 1,787", 150, 450, 215, 150, 440," 11,043"
,Colton," 26,446"," 12,687"," 5,261"," 1,115", 113, 223, 291, 102, 660," 5,994"
,Fontana," 114,747"," 55,071"," 25,421"," 4,527", 486," 1,117"," 1,042", 385," 1,275"," 25,423"
,Grand Terrace," 7,889"," 3,029"," 2,573", 429, 31, 99, 57, 17, 117," 1,537"
,Hesperia," 53,538"," 18,185"," 18,858"," 2,931", 212, 677, 532, 194, 572," 11,377"
,Highland," 30,863"," 12,652"," 9,160"," 1,425", 121, 318, 247, 94, 528," 6,318"
,Loma Linda," 13,659"," 5,366"," 3,949", 646, 61, 174, 96, 43, 170," 3,154"
,Montclair," 18,408"," 9,175"," 3,792", 678, 81, 231, 218, 58, 170," 4,005"
,Needles," 2,204", 625, 901, 148, 11, 27, 20, 3, 17, 452
,Ontario," 91,601"," 43,033"," 21,581"," 3,745", 385," 1,007", 842, 329, 965," 19,714"
,Rancho Cucamonga," 107,383"," 40,254"," 37,118"," 5,243", 425," 1,137", 528, 292," 1,037"," 21,349"
,Redlands," 46,407"," 17,837"," 15,565"," 2,308", 194, 614, 292, 125, 441," 9,031"
,Rialto," 54,653"," 27,491"," 10,047"," 2,221", 218, 511, 626, 251, 882," 12,406"
,San Bernardino," 104,051"," 48,333"," 22,866"," 4,386", 427," 1,001"," 1,195", 430," 2,588"," 22,825"
,Twenty-nine Palms," 8,120"," 2,421"," 2,774", 532, 49, 194, 83, 24, 82," 1,961"
,Upland," 48,774"," 18,937"," 16,535"," 2,294", 204, 545, 253, 120, 470," 9,416"
,Victorville," 66,192"," 28,262"," 16,360"," 3,722", 269, 729, 771, 265," 1,172"," 14,642"
,Yucaipa," 34,833"," 8,820"," 16,898"," 2,008", 123, 511, 168, 105, 301," 5,899"
,Yucca Valley," 12,750"," 3,672"," 5,135", 838, 63, 208, 73, 43, 127," 2,591"
,,,,,,,,,,,
,Unincorporated Area," 161,907"," 53,701"," 60,451"," 8,914", 790," 2,325"," 1,350", 516," 1,905"," 31,955"
San Bernardino Totals,," 1,178,861"," 472,063"," 354,984"," 56,918"," 4,896"," 13,519"," 9,939"," 3,937"," 15,367"," 247,238"
     Percent,,,40.04%,30.11%,4.83%,0.42%,1.15%,0.84%,0.33%,1.30%,20.97%
,,,,,,,,,,,
San Diego,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 357,945"," 166,372"," 75,672"," 12,790"," 1,589"," 3,627"," 3,024"," 1,723"," 2,079"," 91,069"
,County Supervisorial 2," 389,779"," 129,899"," 143,221"," 19,158"," 1,387"," 5,075"," 1,671"," 1,320"," 1,780"," 86,268"
,County Supervisorial 3," 418,192"," 172,844"," 112,368"," 18,584"," 1,670"," 5,091"," 1,312"," 1,358"," 1,607"," 103,358"
,County Supervisorial 4," 392,376"," 189,647"," 81,141"," 16,209"," 2,069"," 4,877"," 2,715"," 1,478"," 2,772"," 91,468"
,County Supervisorial 5," 380,496"," 139,322"," 123,884"," 18,628"," 1,797"," 5,571"," 2,253"," 1,407"," 2,502"," 85,132"
,,,,,,,,,,,
,US Congressional 48," 319,445"," 94,739"," 131,776"," 16,336"," 1,291"," 4,663"," 1,460"," 1,021"," 1,676"," 66,483"
,US Congressional 49," 308,783"," 121,251"," 92,424"," 15,443"," 1,402"," 4,404"," 1,446"," 1,117"," 1,853"," 69,443"
,US Congressional 50," 453,370"," 196,901"," 114,677"," 19,352"," 1,995"," 5,737"," 1,863"," 1,403"," 2,015"," 109,427"
,US Congressional 51," 436,659"," 187,634"," 111,978"," 19,469"," 1,959"," 5,393"," 2,402"," 1,632"," 2,302"," 103,890"
,US Congressional 52," 420,531"," 197,559"," 85,431"," 14,769"," 1,865"," 4,044"," 3,804"," 2,113"," 2,894"," 108,052"
,,,,,,,,,,,
,State Senate 18," 339,947"," 155,772"," 74,820"," 12,042"," 1,456"," 3,403"," 2,835"," 1,628"," 1,890"," 86,101"
,State Senate 32," 6,765"," 2,114"," 2,687", 380, 51, 97, 37, 29, 34," 1,336"
,State Senate 38," 427,533"," 171,432"," 122,359"," 20,599"," 1,877"," 5,858"," 1,794"," 1,453"," 2,237"," 99,924"
,State Senate 39," 588,898"," 268,210"," 138,040"," 25,773"," 2,931"," 7,439"," 3,845"," 2,308"," 3,874"," 136,478"
,State Senate 40," 575,645"," 200,556"," 198,380"," 26,575"," 2,197"," 7,444"," 2,464"," 1,868"," 2,705"," 133,456"
,,,,,,,,,,,
,State Assembly 74," 163,829"," 63,096"," 49,407"," 8,212", 828," 2,461"," 1,055", 676," 1,115"," 36,979"
,State Assembly 75," 309,973"," 91,056"," 128,695"," 15,714"," 1,194"," 4,442"," 1,236", 958," 1,446"," 65,232"
,State Assembly 76," 278,610"," 104,603"," 85,507"," 12,241"," 1,001"," 3,324"," 1,244", 873," 1,397"," 68,420"
,State Assembly 77," 317,359"," 135,151"," 83,360"," 14,780"," 1,385"," 4,207", 982," 1,007"," 1,408"," 75,079"
,State Assembly 78," 305,921"," 145,970"," 66,938"," 13,019"," 1,536"," 3,969"," 1,579"," 1,036"," 1,471"," 70,403"
,State Assembly 79," 265,782"," 121,587"," 57,503"," 10,970"," 1,334"," 2,988"," 2,445"," 1,322"," 2,418"," 65,215"
,State Assembly 80," 297,314"," 136,621"," 64,876"," 10,433"," 1,234"," 2,850"," 2,434"," 1,414"," 1,485"," 75,967"
,,,,,,,,,,,
,State Board of Equalization 4," 1,938,788"," 798,084"," 536,286"," 85,369"," 8,512"," 24,241"," 10,975"," 7,286"," 10,740"," 457,295"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Carlsbad," 81,619"," 30,980"," 26,035"," 4,170", 289," 1,103", 218, 261, 367," 18,196"
,Chula Vista," 168,309"," 75,933"," 39,554"," 6,066", 657," 1,593"," 1,169", 696, 684," 41,957"
,Coronado," 11,059"," 3,484"," 4,161", 601, 26, 147, 23, 31, 30," 2,556"
,Del Mar," 3,198"," 1,373", 887, 145, 8, 40, 10, 11, 12, 712
